h,beta,Magnetisierung,Magnetisierung_abs
-0.9591836734693877,0.5714285714285714,-0.9872467041015625,0.9874000244140625
-0.9591836734693877,0.5918367346938775,-0.9936583251953125,0.9936583251953125
-0.9591836734693877,0.6122448979591836,-0.9880670166015625,0.9896185302734375
-0.9591836734693877,0.6326530612244897,-0.991075927734375,0.991075927734375
-0.9591836734693877,0.6530612244897959,-0.9844404296875,0.99200341796875
-0.9591836734693877,0.673469387755102,-0.997329345703125,0.997329345703125
-0.9591836734693877,0.6938775510204082,-0.992736083984375,0.992736083984375
-0.9591836734693877,0.7142857142857142,-0.9820770263671875,0.9927508544921875
-0.9591836734693877,0.7346938775510203,-0.998542236328125,0.998542236328125
-0.9591836734693877,0.7551020408163265,-0.9924222412109375,0.9924222412109375
-0.9591836734693877,0.7755102040816326,-0.999062255859375,0.999062255859375
-0.9591836734693877,0.7959183673469387,-0.999234375,0.999234375
-0.9591836734693877,0.8163265306122448,-0.999366943359375,0.999366943359375
-0.9591836734693877,0.836734693877551,-0.999494384765625,0.999494384765625
-0.9591836734693877,0.8571428571428571,-0.9720343017578125,0.9916961669921875
-0.9591836734693877,0.8775510204081632,-0.9674044189453125,0.9897322998046875
-0.9591836734693877,0.8979591836734693,-0.98494677734375,0.985687255859375
-0.9591836734693877,0.9183673469387754,-0.9919246826171875,0.9919246826171875
-0.9591836734693877,0.9387755102040816,-0.961911865234375,0.98881005859375
-0.9591836734693877,0.9591836734693877,-0.9998515625,0.9998515625
-0.9591836734693877,0.9795918367346939,-0.99987890625,0.99987890625
-0.9591836734693877,1.0,-0.98385107421875,0.98385107421875
-0.9183673469387755,0.0,0.000194580078125,0.006094482421875
-0.9183673469387755,0.02040816326530612,-0.020322509765625,0.02035009765625
-0.9183673469387755,0.04081632653061224,-0.04407421875,0.04407421875
-0.9183673469387755,0.061224489795918366,-0.0726719970703125,0.0728133544921875
-0.9183673469387755,0.08163265306122448,-0.105824462890625,0.105824462890625
-0.9183673469387755,0.1020408163265306,-0.1469354248046875,0.1469354248046875
-0.9183673469387755,0.12244897959183673,-0.1936112060546875,0.1936112060546875
-0.9183673469387755,0.14285714285714285,-0.2498658447265625,0.2502989501953125
-0.9183673469387755,0.16326530612244897,-0.315852783203125,0.315852783203125
-0.9183673469387755,0.18367346938775508,-0.3891903076171875,0.3897806396484375
-0.9183673469387755,0.2040816326530612,-0.47069970703125,0.47069970703125
-0.9183673469387755,0.22448979591836732,-0.5518341064453125,0.5525655517578125
-0.9183673469387755,0.24489795918367346,-0.6340926513671875,0.6340926513671875
-0.9183673469387755,0.26530612244897955,-0.708576416015625,0.708576416015625
-0.9183673469387755,0.2857142857142857,-0.7703170166015625,0.7703170166015625
-0.9183673469387755,0.3061224489795918,-0.8217186279296875,0.8217186279296875
-0.9183673469387755,0.32653061224489793,-0.861435302734375,0.861435302734375
-0.9183673469387755,0.3469387755102041,-0.890479248046875,0.890479248046875
-0.9183673469387755,0.36734693877551017,-0.911955322265625,0.913782470703125
-0.9183673469387755,0.3877551020408163,-0.9297049560546875,0.9317088623046875
-0.9183673469387755,0.4081632653061224,-0.9470885009765625,0.9470885009765625
-0.9183673469387755,0.42857142857142855,-0.9564302978515625,0.9567689208984375
-0.9183673469387755,0.44897959183673464,-0.9622218017578125,0.9652281494140625
-0.9183673469387755,0.4693877551020408,-0.9684954833984375,0.9717315673828125
-0.9183673469387755,0.4897959183673469,-0.977279296875,0.977279296875
-0.9183673469387755,0.5102040816326531,-0.9799739990234375,0.9799739990234375
-0.9183673469387755,0.5306122448979591,-0.9831351318359375,0.9831634521484375
-0.9183673469387755,0.5510204081632653,-0.9840963134765625,0.9849237060546875
-0.9183673469387755,0.5714285714285714,-0.9889644775390625,0.9889644775390625
-0.9183673469387755,0.5918367346938775,-0.982807861328125,0.98910546875
-0.9183673469387755,0.6122448979591836,-0.9838380126953125,0.9903958740234375
-0.9183673469387755,0.6326530612244897,-0.99565869140625,0.99565869140625
-0.9183673469387755,0.6530612244897959,-0.9830570068359376,0.9916600341796875
-0.9183673469387755,0.673469387755102,-0.9824298095703125,0.9919534912109375
-0.9183673469387755,0.6938775510204082,-0.98074951171875,0.991991943359375
-0.9183673469387755,0.7142857142857142,-0.9871063232421875,0.9891422119140625
-0.9183673469387755,0.7346938775510203,-0.998492431640625,0.998492431640625
-0.9183673469387755,0.7551020408163265,-0.9874984130859376,0.9887095947265625
-0.9183673469387755,0.7755102040816326,-0.986853759765625,0.98782763671875
-0.9183673469387755,0.7959183673469387,-0.999186279296875,0.999186279296875
-0.9183673469387755,0.8163265306122448,-0.999338134765625,0.999338134765625
-0.9183673469387755,0.836734693877551,-0.987464111328125,0.987544921875
-0.9183673469387755,0.8571428571428571,-0.999535888671875,0.999535888671875
-0.9183673469387755,0.8775510204081632,-0.9642130126953125,0.9897054443359375
-0.9183673469387755,0.8979591836734693,-0.98562451171875,0.986535888671875
-0.9183673469387755,0.9183673469387754,-0.9591959228515625,0.9874752197265625
-0.9183673469387755,0.9387755102040816,-0.9505614013671875,0.9865550537109375
-0.9183673469387755,0.9591836734693877,-0.9998348388671875,0.9998348388671875
-0.9183673469387755,0.9795918367346939,-0.99986669921875,0.99986669921875
-0.9183673469387755,1.0,-0.9731956787109375,0.9752591552734375
-0.8775510204081632,0.0,0.0001451416015625,0.0061002197265625
-0.8775510204081632,0.02040816326530612,-0.0196248779296875,0.0196922607421875
-0.8775510204081632,0.04081632653061224,-0.042068603515625,0.042068603515625
-0.8775510204081632,0.061224489795918366,-0.06953466796875,0.06953466796875
