# Steps: 4000000000
# Save frequency: 1000000
# M: 64
# L: 8
# beta: 1
# mu: 0.84
step,total_rods,horizontal_rods,vertical_rods
754000000,361,3,358
755000000,376,0,376
756000000,368,1,367
757000000,355,1,354
758000000,376,0,376
759000000,365,0,365
760000000,376,2,374
761000000,366,0,366
762000000,365,5,360
763000000,368,16,352
764000000,362,6,356
765000000,376,0,376
766000000,364,3,361
767000000,384,0,384
768000000,379,4,375
769000000,365,2,363
770000000,371,0,371
771000000,379,5,374
772000000,366,7,359
773000000,356,12,344
774000000,359,10,349
775000000,376,23,353
776000000,357,24,333
777000000,370,1,369
778000000,361,0,361
779000000,372,0,372
780000000,366,4,362
781000000,366,0,366
782000000,363,0,363
783000000,364,17,347
784000000,372,27,345
785000000,369,20,349
786000000,377,2,375
787000000,366,7,359
788000000,375,8,367
789000000,375,0,375
790000000,368,0,368
791000000,368,9,359
792000000,374,0,374
793000000,368,0,368
794000000,363,1,362
795000000,356,6,350
796000000,369,9,360
797000000,365,6,359
798000000,376,13,363
799000000,376,5,371
800000000,378,0,378
801000000,363,0,363
802000000,362,0,362
803000000,369,1,368
804000000,375,6,369
805000000,368,0,368
806000000,374,4,370
807000000,348,3,345
808000000,380,0,380
809000000,371,0,371
810000000,367,1,366
811000000,365,1,364
812000000,363,0,363
813000000,370,0,370
814000000,376,7,369
815000000,382,0,382
816000000,363,0,363
817000000,376,2,374
818000000,362,4,358
819000000,368,0,368
820000000,364,3,361
821000000,379,9,370
822000000,383,9,374
823000000,368,7,361
824000000,373,0,373
825000000,368,0,368
826000000,370,0,370
827000000,367,0,367
828000000,373,15,358
829000000,367,7,360
830000000,362,3,359
831000000,373,2,371
832000000,380,0,380
833000000,372,0,372
834000000,371,0,371
835000000,368,13,355
836000000,357,0,357
837000000,365,13,352
838000000,367,6,361
839000000,354,2,352
840000000,374,0,374
841000000,380,0,380
842000000,371,0,371
843000000,379,3,376
844000000,379,21,358
845000000,369,14,355
846000000,381,0,381
847000000,363,2,361
848000000,370,0,370
849000000,375,0,375
850000000,363,0,363
851000000,369,5,364
852000000,372,5,367
853000000,368,3,365
854000000,375,5,370
855000000,372,7,365
856000000,361,10,351
857000000,364,7,357
858000000,371,0,371
859000000,368,0,368
860000000,368,7,361
861000000,367,7,360
862000000,371,6,365
863000000,368,4,364
864000000,382,11,371
865000000,366,9,357
866000000,381,9,372
867000000,378,5,373
868000000,366,0,366
869000000,377,7,370
870000000,361,13,348
871000000,379,0,379
872000000,375,1,374
873000000,371,3,368
874000000,368,0,368
875000000,369,0,369
876000000,374,3,371
877000000,370,6,364
878000000,378,0,378
879000000,372,1,371
880000000,378,0,378
881000000,363,2,361
882000000,362,0,362
883000000,377,3,374
884000000,364,9,355
885000000,384,10,374
886000000,364,5,359
887000000,365,11,354
888000000,362,7,355
889000000,367,0,367
890000000,365,1,364
891000000,376,6,370
892000000,376,4,372
893000000,374,0,374
894000000,355,3,352
895000000,368,5,363
896000000,376,0,376
897000000,365,17,348
898000000,358,0,358
899000000,365,0,365
900000000,366,1,365
901000000,367,12,355
902000000,362,0,362
903000000,368,5,363
904000000,371,7,364
905000000,373,0,373
906000000,354,7,347
907000000,357,8,349
908000000,360,17,343
909000000,364,23,341
910000000,368,13,355
911000000,362,18,344
912000000,363,11,352
913000000,373,5,368
914000000,377,7,370
915000000,374,0,374
916000000,364,1,363
917000000,374,0,374
918000000,359,0,359
919000000,368,0,368
920000000,363,0,363
921000000,368,1,367
922000000,371,9,362
923000000,362,13,349
924000000,369,10,359
925000000,369,13,356
926000000,367,2,365
927000000,371,10,361
928000000,379,3,376
929000000,380,5,375
930000000,354,24,330
931000000,375,10,365
932000000,365,13,352
933000000,372,0,372
934000000,358,0,358
935000000,369,1,368
936000000,368,6,362
937000000,377,0,377
938000000,376,0,376
939000000,371,0,371
940000000,369,13,356
941000000,359,13,346
942000000,363,17,346
943000000,357,9,348
944000000,371,1,370
945000000,376,9,367
946000000,379,5,374
947000000,372,3,369
948000000,361,1,360
949000000,365,12,353
950000000,359,1,358
951000000,375,0,375
952000000,360,7,353
953000000,371,5,366
954000000,365,2,363
955000000,368,5,363
956000000,371,0,371
957000000,379,6,373
958000000,365,7,358
959000000,374,6,368
960000000,365,12,353
961000000,373,11,362
962000000,366,18,348
963000000,370,8,362
964000000,377,0,377
965000000,370,0,370
966000000,364,10,354
967000000,369,0,369
968000000,367,2,365
969000000,372,0,372
970000000,366,4,362
971000000,368,1,367
972000000,374,1,373
973000000,368,11,357
974000000,380,2,378
975000000,373,0,373
976000000,366,2,364
977000000,382,0,382
978000000,362,3,359
979000000,366,7,359
980000000,367,14,353
981000000,363,18,345
982000000,357,8,349
983000000,363,0,363
984000000,371,0,371
985000000,366,5,361
986000000,360,6,354
987000000,368,8,360
988000000,371,8,363
989000000,385,7,378
990000000,362,13,349
991000000,365,5,360
992000000,369,5,364
993000000,366,1,365
994000000,365,0,365
995000000,363,2,361
996000000,359,7,352
997000000,368,9,359
998000000,362,4,358
999000000,370,0,370
1000000000,366,1,365
1001000000,374,7,367
1002000000,364,0,364
1003000000,372,0,372
1004000000,372,0,372
1005000000,365,13,352
1006000000,368,16,352
1007000000,380,15,365
1008000000,372,3,369
1009000000,360,23,337
1010000000,360,15,345
1011000000,376,6,370
1012000000,369,0,369
1013000000,360,0,360
1014000000,370,0,370
1015000000,359,2,357
1016000000,367,7,360
1017000000,361,11,350
1018000000,370,11,359
1019000000,387,9,378
1020000000,373,7,366
1021000000,373,7,366
1022000000,361,5,356
1023000000,366,8,358
1024000000,364,10,354
1025000000,367,5,362
1026000000,374,8,366
1027000000,372,1,371
1028000000,365,7,358
1029000000,371,2,369
1030000000,370,7,363
1031000000,370,5,365
1032000000,360,1,359
1033000000,370,1,369
1034000000,374,0,374
1035000000,373,0,373
1036000000,373,10,363
1037000000,371,10,361
1038000000,367,9,358
1039000000,365,7,358
1040000000,366,0,366
1041000000,364,2,362
1042000000,352,3,349
1043000000,386,0,386
1044000000,367,0,367
1045000000,370,2,368
1046000000,373,2,371
1047000000,363,0,363
1048000000,373,0,373
1049000000,372,0,372
1050000000,368,4,364
1051000000,377,3,374
1052000000,370,0,370
1053000000,377,2,375
1054000000,358,9,349
1055000000,365,4,361
1056000000,355,9,346
1057000000,376,5,371
1058000000,373,2,371
1059000000,372,8,364
1060000000,378,0,378
1061000000,369,4,365
1062000000,374,9,365
1063000000,368,9,359
1064000000,377,0,377
1065000000,373,0,373
1066000000,376,0,376
1067000000,366,0,366
1068000000,360,4,356
1069000000,366,7,359
1070000000,360,7,353
1071000000,379,3,376
1072000000,350,4,346
1073000000,372,1,371
1074000000,371,0,371
1075000000,366,7,359
1076000000,374,6,368
1077000000,382,3,379
1078000000,357,15,342
1079000000,374,1,373
1080000000,369,0,369
1081000000,371,4,367
1082000000,369,0,369
1083000000,367,3,364
1084000000,374,0,374
1085000000,368,1,367
1086000000,374,0,374
1087000000,366,2,364
1088000000,362,3,359
1089000000,374,8,366
1090000000,368,10,358
1091000000,371,13,358
1092000000,364,5,359
1093000000,377,7,370
1094000000,360,5,355
1095000000,368,2,366
1096000000,370,0,370
1097000000,375,2,373
1098000000,363,0,363
1099000000,378,5,373
1100000000,363,8,355
1101000000,364,12,352
1102000000,370,6,364
1103000000,370,3,367
1104000000,365,0,365
1105000000,368,3,365
1106000000,358,13,345
1107000000,358,6,352
1108000000,365,0,365
1109000000,365,4,361
1110000000,354,8,346
1111000000,357,0,357
1112000000,371,5,366
1113000000,364,4,360
1114000000,369,0,369
1115000000,363,1,362
1116000000,383,1,382
1117000000,372,0,372
1118000000,355,6,349
1119000000,356,0,356
1120000000,364,6,358
1121000000,370,0,370
1122000000,378,5,373
1123000000,370,0,370
1124000000,364,4,360
1125000000,356,3,353
1126000000,370,5,365
1127000000,374,19,355
1128000000,379,13,366
1129000000,371,20,351
1130000000,357,42,315
1131000000,356,21,335
1132000000,356,18,338
1133000000,353,22,331
1134000000,370,16,354
1135000000,378,16,362
1136000000,363,15,348
1137000000,373,21,352
1138000000,362,12,350
1139000000,355,14,341
1140000000,363,4,359
1141000000,366,17,349
1142000000,367,2,365
1143000000,365,9,356
1144000000,363,1,362
1145000000,376,0,376
1146000000,357,0,357
1147000000,370,0,370
1148000000,358,5,353
1149000000,381,3,378
1150000000,368,3,365
1151000000,368,0,368
1152000000,364,0,364
1153000000,378,3,375
1154000000,375,0,375
1155000000,367,0,367
1156000000,363,8,355
